1,0,0,,顶升机构,
1,1,0,N,顶起货架,先使用上视 PGV 对位，然后将顶升机构顶起
1,2,0,N,放下货架,如果机构处于有货的状态则将顶升机构放下
1,12,0,N,无对位顶起货架,只执行动作，直接将顶升机构顶起
1,13,0,N,直接放下货架,只执行动作，直接将顶升机构放下
2,0,0,,双层辊筒,
2,11,X,N,取货,第 [参数1] 层辊台取货，只有当两个光电传感器都接收到信号才停止，并且表示取货完成
2,12,X,N,放货,第 [参数1] 层辊台放货，当两个传感器都检测不到货物后延时2s，辊台停止运行
2,14,X,N,对侧取货,第 [参数1] 层取货，从另一侧取货
2,15,X,N,对侧放货,第 [参数1] 层放货，从另一侧放货
2,31,1,N,左边同时取货,从左边两个同时取货
2,32,1,N,右边同时取货,从右边两个同时取货
2,33,1,N,左边同时放货,从左边两个同时放货
2,34,1,N,右边同时放货,从右边两个同时放货
2,35,1,N,左1取2放,从左边1号取货，2号放货
2,36,1,N,右1取2放,从右边1号取货，2号放货
2,37,1,N,左1放2取,从左边1号放货，2号取货
2,38,1,N,右1放2取,从右边1号放货，2号取货
3,0,0,,华为测试线双排辊筒,
3,1,X,N,右侧取货,第 [参数1] 排从右侧取货
3,2,X,N,右侧放货,第 [参数1] 排从右侧放货
3,3,X,N,左侧取货,第 [参数1] 排从左侧取货
3,4,X,N,左侧放货,第 [参数1] 排从左侧放货
4,0,0,,顶升旋转机构,
4,1,0,N,顶升,直接将顶升升到 30mm 处，将物体顶起
4,2,0,N,放下,将顶升机构降到 0mm 处,然后旋转转盘到 0 度位置
4,13,0,N,开启同步旋转,开启同步旋转功能，只能在 AGV 处于空闲的时候发送
4,14,0,N,关闭同步旋转,关闭掉同步旋转功能，只能在 AGV 处于空闲时发送
5,0,0,,Aeropod动作机构,
5,12,X,N,移动,控制推杆移动 [参数1] mm
5,13,X,N,爬升,控制AGV爬升 [参数1] mm
5,14,X,N,伸缩,控制 AGV 取放货平台伸缩 [参数1] mm，往右边时取值 0-580，往左边时取值 1580-1000，其中千位上的 1 表示负值
6,0,0,,华为无尘车间单轴机械手,
6,1,0,N,伸出取货,将推杆伸出准备取货，采用光通信协议对接
6,2,0,N,伸出放货,将推杆伸出准备放货
6,3,0,N,缩回归位,将推杆缩回到0
7,0,0,,二维码二次矫正,
7,1,0,N,二维码二次矫正,当agv移动到该站点之后，需要根据地面的二维码二次矫正位置提高对接精度
8,0,0,,华为ODU单层辊筒,
8,1,0,N,左边取货,从AGV后面看AGV，从左边取货，需要光通信协议对接
8,2,0,N,左边放货,从AGV后面看AGV，从左边放货，需要光通信协议对接
8,3,0,N,右边取货,从AGV后面看AGV，从右边取货，需要光通信协议对接
8,4,0,N,右边放货,从AGV后面看AGV，从右边放货，需要光通信协议对接
65,0,0,,设置GPIO输出,
65,X,0,N,GPIO输出,设置GPIO输出为 [参数0]
66,0,0,,设置GPIO输出（延时）,
66,X,Y,N,带恢复GPIO输出,设置GPIO输出为 [参数0]，[参数1] 秒后恢复原值
129,0,0,,等待一定时间,
129,X,0,N,定时等待,等待 [参数0] 秒后自动结束
130,0,0,,等待IO信号触发后结束,
130,X,Y,N,等待IO触发,当输入的IO信号 [参数0] 点位值为 [参数1] 时结束动作任务
131,0,0,,等待特定指令后结束,
131,X,0,N,等待指令,接收到参数为 [参数0] 的特定指令后结束动作任务
78,0,0,,充电任务,
78,1,0,N,开始充电,开始充电
78,2,0,N,结束充电,结束充电
